# saved 2026-06-13T21:24:08
# range_label=3mT
# --- characterization sweep ---
# step_mm=0.100  points=1001  avg_samples=200  settle_ms=100
Distance_mm,Reading_mV,SD_mV
73.500,1775,5.40
73.600,1775,5.40
73.700,1775,4.93
73.800,1775,6.05
73.900,1776,5.12
74.000,1775,5.08
74.100,1775,5.00
74.200,1775,5.31
74.300,1775,5.03
74.400,1774,4.98
74.500,1775,5.16
74.600,1774,4.87
74.700,1775,5.17
74.800,1774,5.63
74.900,1775,4.97
75.000,1774,5.77
75.100,1774,5.16
75.200,1774,5.16
75.300,1774,5.46
75.400,1774,5.08
75.500,1774,4.79
75.600,1774,4.91
75.700,1773,4.66
75.800,1773,4.73
75.900,1774,4.87
76.000,1774,4.77
76.100,1774,5.05
76.200,1774,4.88
76.300,1774,5.08
76.400,1774,4.71
76.500,1774,4.90
76.600,1773,4.64
76.700,1774,4.74
76.800,1773,5.04
76.900,1772,4.74
77.000,1773,6.58
77.100,1773,5.22
77.200,1773,4.90
77.300,1772,5.00
77.400,1773,5.11
77.500,1772,4.99
77.600,1773,5.02
77.700,1773,4.88
77.800,1772,10.43
77.900,1773,5.13
78.000,1773,6.92
78.100,1772,4.78
78.200,1772,5.60
78.300,1772,4.96
78.400,1772,5.03
78.500,1772,4.76
78.600,1772,5.45
78.700,1773,4.86
78.800,1772,4.78
78.900,1771,5.10
79.000,1771,4.68
79.100,1771,5.52
79.200,1771,4.76
79.300,1772,4.79
79.400,1771,5.13
79.500,1771,5.04
79.600,1772,4.74
79.700,1771,8.67
79.800,1773,5.07
79.900,1771,5.92
80.000,1772,4.90
80.100,1771,4.73
80.200,1771,7.12
80.300,1772,4.65
80.400,1771,5.44
80.500,1771,4.99
80.600,1771,4.95
80.700,1771,5.76
80.800,1771,4.80
80.900,1771,4.86
81.000,1770,5.29
81.100,1770,8.09
81.200,1770,4.68
81.300,1770,4.87
81.400,1770,4.60
81.500,1771,5.11
81.600,1770,4.78
81.700,1770,4.81
81.800,1770,6.65
81.900,1770,4.47
82.000,1770,5.53
82.100,1771,4.80
82.200,1769,5.90
82.300,1769,5.43
82.400,1770,5.04
82.500,1770,5.31
82.600,1770,4.66
82.700,1770,5.48
82.800,1769,9.96
82.900,1770,4.81
83.000,1770,4.50
83.100,1769,4.47
83.200,1770,4.80
83.300,1769,5.28
83.400,1770,4.98
83.500,1769,4.50
83.600,1770,5.19
83.700,1769,4.87
83.800,1769,4.75
83.900,1769,4.73
84.000,1769,4.52
84.100,1769,5.37
84.200,1769,6.42
84.300,1769,4.53
84.400,1768,5.36
84.500,1768,4.39
84.600,1769,4.51
84.700,1769,4.91
84.800,1769,5.19
84.900,1768,4.36
85.000,1768,4.92
85.100,1769,4.20
85.200,1770,5.70
85.300,1768,4.94
85.400,1768,4.47
85.500,1769,4.69
85.600,1769,4.57
85.700,1768,4.67
85.800,1770,4.75
85.900,1768,5.15
86.000,1769,5.02
86.100,1769,4.96
86.200,1768,5.06
86.300,1767,6.48
86.400,1769,4.78
86.500,1769,4.37
86.600,1768,4.83
86.700,1768,4.66
86.800,1768,4.40
86.900,1767,4.67
87.000,1767,5.61
87.100,1767,4.76
87.200,1768,4.84
87.300,1767,4.98
87.400,1767,4.99
87.500,1767,5.18
87.600,1767,4.74
87.700,1767,5.12
87.800,1768,4.72
87.900,1768,6.22
88.000,1768,5.37
88.100,1768,4.91
88.200,1767,8.97
88.300,1768,5.74
88.400,1767,5.23
88.500,1768,5.20
88.600,1767,4.61
88.700,1767,5.16
88.800,1766,10.94
88.900,1767,5.08
89.000,1768,6.13
89.100,1767,4.83
89.200,1767,6.13
89.300,1766,5.41
89.400,1767,4.67
89.500,1766,4.84
89.600,1767,5.38
89.700,1767,4.88
89.800,1767,4.92
89.900,1766,4.65
90.000,1767,4.66
90.100,1767,5.50
90.200,1767,5.18
90.300,1767,4.98
90.400,1767,5.43
90.500,1766,5.19
90.600,1767,4.69
90.700,1766,5.42
90.800,1767,5.35
90.900,1766,5.17
91.000,1767,5.19
91.100,1766,4.88
91.200,1766,4.88
91.300,1767,6.06
91.400,1766,5.05
91.500,1767,5.16
91.600,1767,5.13
91.700,1766,5.01
91.800,1767,5.17
91.900,1766,5.04
92.000,1766,4.66
92.100,1766,4.83
92.200,1766,6.06
92.300,1766,5.09
92.400,1767,4.81
92.500,1765,5.18
92.600,1767,5.05
92.700,1766,4.81
92.800,1765,4.92
92.900,1765,5.45
93.000,1765,5.22
93.100,1765,4.87
93.200,1765,4.64
93.300,1765,7.59
93.400,1766,5.52
93.500,1765,5.15
93.600,1765,4.76
93.700,1765,5.01
93.800,1765,5.55
93.900,1765,5.16
94.000,1766,5.27
94.100,1765,5.09
94.200,1765,6.04
94.300,1765,4.87
94.400,1765,4.90
94.500,1765,5.22
94.600,1766,5.11
94.700,1765,4.62
94.800,1765,4.91
94.900,1764,4.70
95.000,1765,4.70
95.100,1764,5.00
95.200,1765,5.44
95.300,1765,5.07
95.400,1765,5.72
95.500,1764,4.95
95.600,1765,4.83
95.700,1765,5.00
95.800,1765,5.23
95.900,1765,4.96
96.000,1765,5.33
96.100,1765,5.34
96.200,1765,5.40
96.300,1765,5.08
96.400,1764,4.93
96.500,1764,4.98
96.600,1765,4.92
96.700,1764,4.80
96.800,1764,4.97
96.900,1765,5.14
97.000,1764,5.19
97.100,1764,5.16
97.200,1765,7.26
97.300,1765,5.05
97.400,1764,4.68
97.500,1764,7.73
97.600,1765,5.09
97.700,1765,4.73
97.800,1765,4.88
97.900,1764,5.02
98.000,1764,5.47
98.100,1764,4.90
98.200,1765,6.55
98.300,1764,4.74
98.400,1763,6.17
98.500,1764,5.14
98.600,1764,6.28
98.700,1765,4.99
98.800,1765,4.93
98.900,1764,4.91
99.000,1764,4.90
99.100,1764,5.19
99.200,1764,4.94
99.300,1764,4.99
99.400,1764,5.46
99.500,1765,5.21
99.600,1764,5.02
99.700,1765,4.93
99.800,1765,4.99
99.900,1764,5.39
100.000,1764,4.62
